QUERY,L,LAT,SUBJECT_CODES_1,SUBJECT_CODES_2,SUBJECT_CODES_3,SUBJECT_CODES_4,SUBJECT_CODES_5,SUBJECT_CODES_6,SORT_BY,LOC,C,RAD,LQ,PAGE,LNG,SEN_COURSES,DEGREE_REQUIRED,FUNDING,FULLTIME,HAS_VACANCIES,PARTTIME,CAN_SPONSOR_VISA,QUALIFICATIONS
,1,51.5657787,00,03,06,,,,2,"42 Moray Rd, Finsbury Park, London N4 3LG, UK",England,50,"42 Moray Road, London N4 3LG",,-0.1128478,,,,,,,,
"",1,,C6,,,,,,,,,,Coventry,,,false,two_two,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,53.8007554,41,,,,,,2,"Leeds, UK",England,50,Leeds,,-1.5490774,true,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
,2,,,,,,,,,,,,,2,,true,,,,,,,
,1,50.9485642,C6,,,,,,2,"Sycamore Dr, Burgess Hill RH15 0GG, UK",England,50,"Sycamore Drive, Burgess Hill RH15 0GG",,-0.109136,,,,,,,,
,1,53.18214889999999,00,02,,,,,2,"Thorpe Ln, South Hykeham, Lincoln LN6 9NW, UK",England,50,"Thorpe Lane, South Hykeham, Lincoln LN6 9NW",2,-0.6244168999999999,,,,,,,,
,1,51.54615,C8,,,,,,2,"Durham Rd, Dagenham RM10 8AN, UK",England,50,RM10 8AN,,0.1643679,,show_all_courses,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
"UCL, University College London",3,,00,03,07,,,,,,,,,,,,,,,,,,
,1,52.6308859,Q3,,,,,,2,"Norwich, UK",England,50,Norwich,,1.297355,,,,,,,,
,1,52.0982885,00,W1,,,,,2,"Tompions End, Ickwell, Biggleswade SG18 9EN, UK",England,50,"Tompions End, Ickwell, Biggleswade SG18 9EN",,-0.3195075,,,,,,,,
royal masonic school,3,,,,,,,,,,,,,,,,,,,,,,
,1,51.5073509,,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
,1,52.48624299999999,,,,,,,2,"Birmingham, UK",England,50,birmingham,,-1.890401,,show_all_courses,,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,51.9901978,00,08,,,,,2,"Milton Keynes MK2, UK",England,50,Milton Keynes MK2,,-0.7242016,,,,,,,,
,1,51.5657787,00,03,06,,,,2,"42 Moray Rd, Finsbury Park, London N4 3LG, UK",England,50,"42 Moray Road, London N4 3LG",,-0.1128478,,,,,,,,
,2,,15,,,,,,,,,,,3,,,show_all_courses,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.6308859,Q3,,,,,,2,"Norwich, UK",England,50,Norwich,,1.297355,,,,,,,,
,2,,V1,V6,,,,,2,,England,,,,,,third_class,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.2545225,00,,,,,,2,"Worcestershire, UK",England,50,Worcestershire,7,-2.2668382,,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
"",1,,,,,,,,,,,,Hull,,,,,,,,,,
,1,51.5657787,00,03,06,,,,2,"42 Moray Rd, Finsbury Park, London N4 3LG, UK",England,50,"42 Moray Road, London N4 3LG",,-0.1128478,,,,,,,,
"",1,,,,,,,,,,,,RH16 3LT ,,,,,,,,,,
,1,53.3270364,24,22,,,,,2,"Welham, Retford DN22 0SF, UK",England,50,Dn22 0SF ,,-0.9056402000000001,,,,,,,,
,1,51.4591818,00,,,,,,2,"Bristol BS2 8HW, UK",England,50,Bristol BS2 8HW,,-2.5961402,,,,,,,,
,1,52.6336344,V1,,,,,,2,"Swaffham PE37 8GG, UK",England,50,Swaffham PE37 8GG,,0.6954562000000001,,,,,,,,
,1,51.580559,14,41,,,,,2,"Harrow, UK",England,50,Harrow,,-0.341995,,,,,,,,
,1,51.5073509,00,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
"",1,,,,,,,,,,,,Stoke-on-Trent,,,,,,,,,,
,1,51.1464659,G1,,,,,,2,"Ashford, UK",England,50,Ashford,5,0.875019,,,,,,,,
"",1,,,,,,,,,,,,"Cranford Mews, Alsager, Stoke-on-Trent ST7 2YJ",,,,,,,,,,
,1,52.9044053,00,,,,,,2,"Derby DE23 8NE, UK",England,50,Derby DE23 8NE,,-1.4681393,,,,,,,,
,1,51.46429329999999,00,07,,,,,2,"Great Mead, Chippenham SN15 3QJ, UK",England,50,"Great Mead, Chippenham SN15 3QJ",,-2.107122,,show_all_courses,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,51.5073509,00,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
,1,52.04742479999999,00,,,,,,2,"Ascot Rd, Royston SG8 9JD, UK",England,50,"Ascot Road, Royston SG8 9JD",,-0.0109041,,show_all_courses,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.406822,C6,,,,,,2,"Coventry, UK",England,50,Coventry,,-1.519693,,two_two,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,53.00024699999999,00,,,,,,2,"Hunters Way, Stoke-on-Trent ST4 5EJ, UK",England,50,St45ej,2,-2.1925319,,,,,,,,
University College London,3,,,,,,,,2,,,,"",,,,,,,,,,
Inspire Partnership,3,,00,,,,,,,,,,,,,,,,,,,,
,1,53.53458440000001,Q3,,,,,,2,"Church Rd, Greenfield, Oldham OL3 7LQ, UK",England,50,OL3 7LQ,,-2.0249286,,,,,,,,
,1,53.18214889999999,00,02,,,,,2,"Thorpe Ln, South Hykeham, Lincoln LN6 9NW, UK",England,50,"Thorpe Lane, South Hykeham, Lincoln LN6 9NW",,-0.6244168999999999,,,,,,,,
royal masonic schoo,2,,,,,,,,,,,,"",,,,,,,,,,
University College London,3,,,,,,,,2,,,,,,,,,,,,,,
,1,53.04304,00,,,,,,2,"Wrexham, UK",Wales,50,Wrexham,,-2.992494,,,,,,,,
"UCL, University College London",3,,00,03,07,,,,,,,,,,,,,,,,,,
Birmingham City University,3,,00,,,,,,2,,,,,,,,,,,,,,
"UCL, University College London",3,,00,03,07,,,,,,,,,,,,,,,,,,
,1,51.4436198,00,01,02,03,06,07,2,"Earlsfield Rd, London SW18 3DG, UK",England,50,"Earlsfield Road, London SW18 3DG",,-0.1874799,,,,,,,,
,1,51.4817014,03,,,,,,2,"Barnfield Gardens, Plumstead Common Rd, London SE18 3QY, UK",England,50,Se18 3qy ,,0.0720323,,,,,,,,
,1,50.9982014,00,,,,,,2,"Priory Way, Haywards Heath RH16 3LT, UK",England,50,RH16 3LT ,,-0.0944957,,,,,,,,
"",2,,,,,,,,,,,,"",,,,,,,,,,
,1,51.4591818,00,,,,,,2,"Bristol BS2 8HW, UK",England,50,Bristol BS2 8HW,,-2.5961402,,,,,,,,
,1,51.480873,20,,,,,,2,"London SE8 3FE, UK",England,50,London SE8 3FE,,-0.0200211,,,,,,,,
"",1,,,,,,,,,,,,Exeter,,,,,,,,,,
,1,53.309302,,,,,,,2,"Worksop, UK",England,50,Worksop,,-1.122745,,show_all_courses,,,true,,,"QtsOnly,PgdePgceWithQts,Other"
,1,50.9982014,00,,,,,,2,"Priory Way, Haywards Heath RH16 3LT, UK",England,50,RH16 3LT ,,-0.0944957,,,,,,,,
Sheffield Hallam University,3,,C6,,,,,,,,,,,,,,,,,,,,
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.95478319999999,G1,,,,,,2,"Nottingham, UK",England,50,nottingham,,-1.1581086,,show_all_courses,,true,true,,,"QtsOnly,PgdePgceWithQts"
